file,expected_vulnerability,should_flag,predicted_flag,outcome,predicted_vulnerability,function_name,scenario_match,property_match,final_vulnerable,scenario_reason,property_reason,static_check_passed,static_check_details,provider
./datasets/positive/dos_01_real_auction.sol,DOS_EXTERNAL,True,True,TP,DOS_EXTERNAL,bid,True,True,True,"The function makes an external call to currentLeader within critical control flow, which can lead to DoS if the external contract fails.","The external call to currentLeader can revert, blocking the function without recovery.",True,External call found together with blocking logic tied to the call result.,gpt
./datasets/negative/dos_03_pull_payment_safe.sol,DOS_EXTERNAL,False,False,TN,DOS_EXTERNAL,withdraw,True,True,False,"The function makes an external call to transfer funds, which is within critical control flow after modifying state.","The function transfers Ether to an external address without checks, risking DoS if the call fails.",False,"Self-withdraw pull-payment pattern detected; failure affects only the caller, not shared protocol progress.",gpt
./datasets/positive/reentrancy_01.sol,REENTRANCY,True,True,TP,REENTRANCY,withdraw,True,True,True,"The function makes an external call to msg.sender before updating the state, matching the reentrancy scenario.","The external call to msg.sender occurs before the internal state is updated, allowing reentrancy.",True,"External call occurs before a later state write, matching a reentrancy risk pattern.",gpt
./datasets/negative/reentrancy_02.sol,REENTRANCY,False,False,TN,REENTRANCY,withdraw,True,True,False,The function makes an external call to msg.sender before completing critical state updates.,"The function allows a reentrant call before the internal state is updated, enabling exploitation.",False,"External call detected, but no state write appears after the call.",gpt
./datasets/positive/access_01.sol,ACCESS_CONTROL,True,True,TP,ACCESS_CONTROL,withdrawAll,True,True,True,"The function withdrawAll transfers the entire balance of the contract to the caller, which is a sensitive action without any access control checks.","The function withdrawAll lacks any authorization checks, allowing any user to withdraw the entire balance.",True,Sensitive action detected with no authorization check.,gpt
./datasets/negative/access_02.sol,ACCESS_CONTROL,False,False,TN,ACCESS_CONTROL,withdrawAll,True,False,False,"The function withdrawAll allows the owner to transfer all funds, which is a privileged action.","The function includes an 'onlyOwner' modifier, which provides an authorization check.",False,"Sensitive action detected, but an authorization check is present.",gpt
./datasets/positive/delegatecall_01.sol,DELEGATECALL_MISUSE,True,True,TP,DELEGATECALL_MISUSE,execute,True,True,True,"The function performs a delegatecall with external input, matching the vulnerability scenario.","The function uses delegatecall with an externally controlled target, allowing potential manipulation of the caller's storage.",True,Delegatecall uses a variable target without authorization.,gpt
./datasets/negative/delegatecall_02.sol,DELEGATECALL_MISUSE,False,False,TN,DELEGATECALL_MISUSE,execute,True,True,False,"The function performs a delegatecall with external input, matching the vulnerability scenario.","The delegatecall target is variable and can be externally controlled, allowing for unexpected storage changes.",False,"Delegatecall detected, but no strong misuse pattern was confirmed.",gpt
./datasets/positive/logic_01.sol,LOGIC_VALIDATION,True,True,TP,LOGIC_VALIDATION,setRecipient,True,True,True,"The function sets a recipient address without any validation checks, which is a sensitive action.","The function lacks validation for the recipient address, allowing zero address assignment.",True,Missing validation patterns detected: missing_zero_address_check.,gpt
./datasets/negative/logic_02.sol,LOGIC_VALIDATION,False,False,TN,LOGIC_VALIDATION,setRecipient,True,False,False,The function performs a sensitive action (setting a recipient) that depends on input validation (checking for zero address).,"The function includes a require statement that checks for a zero address, preventing the vulnerability.",False,No missing zero-address or amount/value validation pattern confirmed.,gpt
./datasets/positive/logic_03.sol,LOGIC_VALIDATION,True,True,TP,LOGIC_VALIDATION,deposit,True,True,True,The function performs a sensitive action (updating balances) without any input validation or sanity checks.,"The function lacks validation checks for the deposit amount, allowing unintended state changes.",True,Missing validation patterns detected: missing_amount_check.,gpt
./datasets/negative/logic_04.sol,LOGIC_VALIDATION,False,False,TN,LOGIC_VALIDATION,deposit,True,False,False,The function performs a sensitive action (depositing funds) that depends on input validation (amount > 0).,"The function includes a validation check for the amount being greater than zero, preventing unintended execution.",False,No missing zero-address or amount/value validation pattern confirmed.,gpt
